"年別","月份","日本","韓國","泰國","馬來西亞","新加坡","印度","小計"
"Year","Month","Japan","Korea","Thailand","Malaysia","Singapore","India","Total"
"114","1","89852","118086","26869","28348","21268","3077","287500"
"114","2","120553","108815","32296","43794","23641","5279","334378"
"114","3","154376","90380","39150","43961","41089","4875","373831"
"114","4","97308","80634","42230","35855","33023","4755","293805"
"114","5","125128","91082","36142","35382","28710","5374","321818"
"114","6","92521","48230","26613","29848","32517","4235","233964"
"114","7","85890","50248","26789","21207","17655","3784","205573"
"114","8","124111","56123","26870","25116","17324","4813","254357"
"總計(Total)","","889739","643598","256959","263511","215227","36192","2305226"
